return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression,Snappy,publicbi-CommonGovernment-baseandalloptionsvalue,45547520,1.768736,1.184911,f32,0,2
0,15.286217,106.517581,decompression,ALP,publicbi-Telco-TOTAL_MINS_P3,11649024,0.051200,1.573725,f32,0,2
0,"","",decompression,GDeflate,publicbi-Telco-TOTAL_OUTGOING_MIN_P3,11649024,1.352928,1.462978,f32,0,2
0,"","",decompression,BitcompSparse,publicbi-PanCreactomy1-LINE_SRVC_CNT,36610048,0.201248,1.008324,f32,0,5
0,"","",decompression_query,zstd,alp-gov10,1128988672,51.283104,2.299754,f64,0,3
0,"","",decompression,zstd,publicbi-Telco-TOTAL_MINS_P1,11649024,2.848768,1.369305,f32,0,5
0,"","",decompression,Deflate,publicbi-CMSprovider-AVERAGE_SUBMITTED_CHRG_AMT,37150720,5.975008,1.454218,f32,0,5
0,"","",decompression_query,Bitcomp,publicbi-Telco-TOTAL_INCOMING_MIN_P1,11649024,0.137696,1.028800,f32,0,3
0,16.469761,155.457454,decompression,GALP,publicbi-Telco-ONNET_MINS_P1,11649024,0.022816,1.316249,f32,0,3
0,"","",decompression,LZ4,alp-neon_dew_point_temp,43311104,1.825088,1.946215,f64,0,3
0,"","",decompression,LZ4,publicbi-CommonGovernment-baseandexercisedoptionsvalue,45547520,2.306912,1.137172,f32,0,4
0,"","",decompression_query,GDeflate,alp-gov26,1128988672,18.523329,7.598002,f64,0,2
0,"","",decompression_query,GDeflate,publicbi-Telco-TOTAL_OUTGOING_MIN_P6,11649024,1.369504,1.180712,f32,0,1
0,20.029548,230.961742,decompression,ALP,publicbi-CMSprovider-AVERAGE_MEDICARE_ALLOWED_AMT,37150720,0.189440,1.035245,f32,0,1
0,"","",decompression_query,Bitcomp,alp-neon_wind_dir,1591189504,7.986016,0.998297,f64,0,1
0,"","",decompression,GDeflate,publicbi-Telco-TOTAL_OUTGOING_MIN_P6,11649024,1.364224,1.180712,f32,0,5
0,"","",decompression_query,LZ4,publicbi-Telco-TOTAL_OUTGOING_REV_P1,11649024,1.305888,1.035391,f32,0,2
0,"","",decompression_query,BitcompSparse,publicbi-Telco-RECHRG_TOTAL_LOAD_P3,11649024,0.122688,1.328478,f32,0,2
0,"","",decompression,Bitcomp,publicbi-Telco-RECHRG_TOTAL_LOAD_P6,11649024,0.115744,1.060339,f32,0,5
0,"","",decompression,LZ4,alp-food_prices,16400384,1.677696,2.391614,f64,0,3
0,"","",decompression_query,Bitcomp,publicbi-CommonGovernment-baseandexercisedoptionsvalue,45547520,0.350720,1.018357,f32,0,3
0,"","",decompression_query,GDeflate,publicbi-Telco-TOTAL_OUTGOING_MIN_P3,11649024,1.367168,1.462978,f32,0,2
0,"","",decompression_query,GDeflate,publicbi-Telco-ONNET_MINS_P3,11649024,1.390048,1.558532,f32,0,4
0,"","",decompression_query,Snappy,publicbi-Telco-RECHRG_TOTAL_LOAD_P3,11649024,1.783648,2.119349,f32,0,5
0,"","",decompression,BitcompSparse,publicbi-Telco-RECHRG_TOTAL_LOAD_P4,11649024,0.115552,1.441491,f32,0,2
0,"","",decompression_query,LZ4,alp-ssd_hdd_benchmarks_f,65536,1.383168,2.751070,f64,0,3
0,"","",decompression,Deflate,alp-stocks_usa_c,2256609280,249.086472,1.456685,f64,0,1
0,"","",decompression,zstd,alp-ssd_hdd_benchmarks_f,65536,1.869376,4.723656,f64,0,5
0,"","",decompression_query,zstd,publicbi-Telco-TOTAL_MINS_P2,11649024,3.029312,1.366673,f32,0,3
0,"","",decompression,zstd,alp-neon_air_pressure,1101766656,29.500481,5.062598,f64,0,4
