return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression,GDeflate,publicbi-Telco-CHRGD_REV_P1,104857600,2.514848,1.365514,f32,25600,5
0,"","",decompression,zstd,publicbi-Telco-RECHRG_TOTAL_LOAD_P3,104857600,5.211328,3.161956,f32,25600,1
0,15.236758,38.072773,decompression_query,GALP,publicbi-CityMaxCapita-LPF,104857600,0.095776,1.820654,f32,25600,3
0,"","",decompression,GDeflate,publicbi-Telco-RECHRG_INC_MIN_USED_P2,104857600,2.435072,1.203463,f32,25600,2
0,"","",decompression_query,LZ4,publicbi-CMSprovider-AVERAGE_SUBMITTED_CHRG_AMT,104857600,3.216736,1.246529,f32,25600,5
0,30.000000,78.456680,decompression,ALP,alp-bitcoin_transactions_f,209715200,0.678912,1.767206,f64,25600,3
0,"","",decompression_query,Snappy,alp-stocks_usa_c,209715200,3.870624,3.475464,f64,25600,1
0,16.522695,187.085195,decompression,GALP,publicbi-Telco-TOTAL_MINS_P1,104857600,0.288576,1.238055,f32,25600,3
0,13.656406,8.530234,decompression_query,GALP,publicbi-Telco-RECHRG_TOTAL_LOAD_P6,104857600,0.083616,2.190138,f32,25600,5
0,1.877969,8.095977,decompression,ALP,alp-gov31,209715200,0.461472,24.649473,f64,25600,2
0,9.858984,0.204453,decompression,ALP,alp-neon_bio_temp_c,209715200,0.477184,6.425126,f64,25600,4
0,"","",decompression_query,zstd,publicbi-Telco-CHRGD_REV_P1,104857600,4.569824,1.495213,f32,25600,2
0,15.464961,298.648281,decompression_query,ALP,publicbi-CMSprovider-AVERAGE_SUBMITTED_CHRG_AMT,104857600,0.435232,1.084055,f32,25600,3
0,"","",decompression,GDeflate,alp-cms9,209715200,3.990784,3.330436,f64,25600,5
0,"","",decompression_query,BitcompSparse,alp-ssd_hdd_benchmarks_f,209715200,1.171968,0.998294,f64,25600,3
0,"","",decompression_query,Snappy,publicbi-CMSprovider-AVERAGE_SUBMITTED_CHRG_AMT,104857600,4.225504,1.360838,f32,25600,4
0,"","",decompression,Deflate,publicbi-CMSprovider-LINE_SRVC_CNT,104857600,12.991744,2.137545,f32,25600,2
0,"","",decompression,LZ4,publicbi-MedPayment1-line_srvc_cnt,104857600,3.914656,1.344474,f32,25600,2
0,1.164219,331.539570,decompression_query,ALP,publicbi-CMSprovider-STDEV_MEDICARE_ALLOWED_AMT,104857600,0.442368,1.909328,f32,25600,5
0,"","",decompression_query,Thrust,publicbi-Telco-ONNET_MINS_P3,104857600,2.956704,1.000000,f32,25600,2
0,6.842227,0.000000,decompression,ALP,alp-stocks_usa_c,209715200,0.452896,9.237657,f64,25600,3
0,"","",decompression_query,Deflate,publicbi-Telco-ONNET_MINS_P1,104857600,13.382880,1.317742,f32,25600,3
0,"","",decompression_query,Thrust,alp-gov30,209715200,3.152896,1.000000,f64,25600,3
0,21.141680,188.843711,decompression_query,GALP,publicbi-Telco-TOTAL_OUTGOING_REV_P1,104857600,0.160032,1.047517,f32,25600,3
0,"","",decompression,Bitcomp,alp-gov26,209715200,0.470496,126.959158,f64,25600,5
0,"","",decompression_query,Thrust,publicbi-MedPayment1-line_srvc_cnt,104857600,3.103040,1.000000,f32,25600,5
0,"","",decompression,LZ4,publicbi-Telco-TOTAL_MINS_P1,104857600,2.722336,1.098454,f32,25600,3
0,"","",decompression_query,zstd,publicbi-Telco-FREE_MINS_P3,104857600,5.199584,2.781813,f32,25600,2
0,"","",decompression_query,Snappy,publicbi-CityMaxCapita-LPF,104857600,3.942080,1.542073,f32,25600,2
0,24.215000,8.152734,decompression,ALP,alp-arade4,209715200,0.553984,2.566378,f64,25600,3
0,"","",decompression,LZ4,publicbi-Telco-ONNET_MINS_P1,104857600,2.683744,1.148837,f32,25600,5
0,"","",decompression_query,Snappy,publicbi-Telco-TOTAL_OUTGOING_MIN_P4,104857600,2.424928,1.357695,f32,25600,4
0,"","",decompression,BitcompSparse,alp-bitcoin_transactions_f,209715200,0.823488,0.998294,f64,25600,1
0,"","",decompression,BitcompSparse,alp-arade4,209715200,0.801536,0.998294,f64,25600,5
0,22.247344,307.829492,decompression,ALP,publicbi-Telco-TOTAL_INCOMING_MIN_P1,104857600,0.546368,0.871186,f32,25600,2
0,"","",decompression,Bitcomp,publicbi-Telco-TOTAL_MINS_P1,104857600,0.446624,1.075318,f32,25600,5
0,"","",decompression_query,Deflate,publicbi-CMSprovider-AVERAGE_SUBMITTED_CHRG_AMT,104857600,13.386240,1.454675,f32,25600,1
0,"","",decompression,Bitcomp,publicbi-CMSprovider-STDEV_SUBMITTED_CHRG_AMT,104857600,0.594560,1.278037,f32,25600,3
0,"","",decompression_query,BitcompSparse,publicbi-Telco-RECHRG_INC_MIN_USED_P2,104857600,0.645248,1.042100,f32,25600,2
0,"","",decompression_query,zstd,publicbi-Telco-ONNET_MINS_P1,104857600,4.706848,1.471975,f32,25600,1
0,"","",decompression_query,zstd,publicbi-Telco-TOTAL_MINS_P3,104857600,4.515392,1.683130,f32,25600,3
0,"","",decompression_query,Deflate,publicbi-Telco-FREE_MINS_P3,104857600,13.531488,2.230585,f32,25600,4
0,16.584961,264.653594,decompression,GALP,publicbi-CommonGovernment-nongsadollar,104857600,0.315520,1.083083,f32,25600,4
0,"","",decompression,zstd,publicbi-CMSprovider-AVERAGE_SUBMITTED_CHRG_AMT,104857600,5.204480,1.754123,f32,25600,4
0,14.997734,101.303398,decompression,ALP,publicbi-Telco-ONNET_MINS_P3,104857600,0.318464,1.616078,f32,25600,4
0,"","",decompression_query,Deflate,publicbi-CMSprovider-LINE_SRVC_CNT,104857600,13.195168,2.137545,f32,25600,2
0,"","",decompression_query,Bitcomp,publicbi-Telco-TOTAL_MINS_P1,104857600,0.675392,1.075318,f32,25600,3
0,"","",decompression,LZ4,publicbi-Telco-TOTAL_OUTGOING_MIN_P3,104857600,2.881344,1.230252,f32,25600,3
0,11.253086,9.415430,decompression_query,GALP,alp-medicare9,209715200,0.354528,5.192865,f64,25600,1
0,"","",decompression_query,LZ4,publicbi-PanCreactomy1-LINE_SRVC_CNT,104857600,4.152512,1.345570,f32,25600,1
0,11.139492,0.835742,decompression_query,ALP,alp-stocks_uk,209715200,0.289664,5.668371,f64,25600,2
0,6.842227,0.000000,decompression_query,GALP,alp-stocks_usa_c,209715200,0.291744,8.915929,f64,25600,5
0,"","",decompression_query,Snappy,publicbi-CMSprovider-LINE_SRVC_CNT,104857600,3.665568,1.703899,f32,25600,1
0,"","",decompression_query,Bitcomp,publicbi-Telco-TOTAL_INCOMING_MIN_P1,104857600,0.661760,1.028805,f32,25600,2
0,"","",decompression,Snappy,publicbi-Telco-CHRGD_REV_P1,104857600,2.837728,1.179464,f32,25600,4
0,"","",decompression_query,Bitcomp,alp-neon_wind_dir,209715200,1.188288,0.998294,f64,25600,5
0,"","",decompression,Snappy,publicbi-Telco-TOTAL_INCOMING_MIN_P1,104857600,1.950080,1.097617,f32,25600,5
0,"","",decompression_query,GDeflate,alp-nyc29,209715200,4.609280,1.182192,f64,25600,2
0,"","",decompression_query,LZ4,alp-bitcoin_f,209715200,2.871360,3.880106,f64,25600,5
0,15.237070,106.891445,decompression_query,GALP,publicbi-Telco-TOTAL_MINS_P3,104857600,0.107616,1.538292,f32,25600,2
0,0.006680,11.544180,decompression_query,ALP,alp-gov40,209715200,0.308224,64.353544,f64,25600,1
0,16.584961,264.653594,decompression,ALP,publicbi-CommonGovernment-nongsadollar,104857600,0.497440,1.101728,f32,25600,5
0,"","",decompression,BitcompSparse,publicbi-CMSprovider-AVERAGE_SUBMITTED_CHRG_AMT,104857600,0.438976,1.005256,f32,25600,5
0,"","",decompression,BitcompSparse,publicbi-Telco-CHRGD_REV_P1,104857600,0.435424,1.081850,f32,25600,5
0,"","",decompression,BitcompSparse,alp-gov26,209715200,0.434144,122.359970,f64,25600,3
0,2.795703,52.926055,decompression,ALP,alp-gov30,209715200,0.523264,9.121372,f64,25600,2
0,"","",decompression,zstd,publicbi-Telco-FREE_MINS_P1,104857600,5.287712,1.928427,f32,25600,5
0,"","",decompression,Snappy,alp-neon_dew_point_temp,209715200,6.747360,1.727223,f64,25600,5
0,"","",decompression_query,LZ4,publicbi-CityMaxCapita-LPF,104857600,3.830112,1.476534,f32,25600,5
0,"","",decompression,LZ4,publicbi-Telco-TOTAL_MINS_P3,104857600,2.795264,1.243671,f32,25600,3
0,"","",decompression,Snappy,publicbi-Telco-ONNET_MINS_P1,104857600,2.720608,1.185271,f32,25600,2
0,"","",decompression,GDeflate,publicbi-Telco-TOTAL_INCOMING_MIN_P1,104857600,2.445184,1.203393,f32,25600,2
0,"","",decompression_query,Snappy,publicbi-MedPayment1-line_srvc_cnt,104857600,3.806240,1.679634,f32,25600,1
0,"","",decompression_query,Snappy,publicbi-Telco-ONNET_MINS_P4,104857600,3.512928,1.483406,f32,25600,5
0,"","",decompression_query,BitcompSparse,publicbi-Telco-TOTAL_OUTGOING_MIN_P3,104857600,0.626816,1.183849,f32,25600,1
0,17.123281,223.815352,decompression_query,GALP,publicbi-Telco-TOTAL_MINS_P6,104857600,0.142368,1.135988,f32,25600,4
0,11.156250,15.422031,decompression_query,ALP,publicbi-PanCreactomy1-LINE_SRVC_CNT,104857600,0.126816,2.681449,f32,25600,4
0,"","",decompression_query,GDeflate,publicbi-Telco-RECHRG_TOTAL_LOAD_P4,104857600,2.676256,2.696580,f32,25600,5
0,"","",decompression,GDeflate,publicbi-Telco-TOTAL_MINS_P6,104857600,2.449600,1.282843,f32,25600,2
0,16.584961,264.653594,decompression_query,GALP,publicbi-CommonGovernment-nongsadollar,104857600,0.155104,1.083083,f32,25600,3
0,28.051914,143.778828,decompression_query,GALP,alp-medicare1,209715200,0.303520,1.615322,f64,25600,1
0,"","",decompression,Bitcomp,publicbi-Telco-TOTAL_OUTGOING_MIN_P4,104857600,0.445216,1.256350,f32,25600,1
0,"","",decompression_query,zstd,alp-ssd_hdd_benchmarks_f,209715200,9.060672,4.574011,f64,25600,2
0,21.141680,188.843711,decompression_query,ALP,publicbi-Telco-TOTAL_OUTGOING_REV_P1,104857600,0.326656,1.064948,f32,25600,1
0,"","",decompression_query,BitcompSparse,publicbi-Telco-OFFNET_REV_P1,104857600,0.655424,1.099142,f32,25600,4
0,19.340586,227.304062,decompression_query,GALP,publicbi-Telco-TOTAL_OUTGOING_MIN_P6,104857600,0.160128,1.047458,f32,25600,5
0,39.731758,7.102695,decompression_query,GALP,alp-nyc29,209715200,0.294528,1.575478,f64,25600,5
0,"","",decompression,Bitcomp,alp-gov40,209715200,0.460448,67.820886,f64,25600,5
0,"","",decompression_query,Deflate,alp-cms9,209715200,23.939104,3.360561,f64,25600,2
0,"","",decompression,Deflate,alp-neon_bio_temp_c,209715200,24.798880,1.403820,f64,25600,4
0,24.215000,8.152734,decompression,GALP,alp-arade4,209715200,0.549600,2.540906,f64,25600,3
0,"","",decompression,zstd,publicbi-Telco-TOTAL_OUTGOING_MIN_P1,104857600,4.660224,1.286313,f32,25600,1
0,"","",decompression,Bitcomp,alp-gov10,209715200,0.940160,1.069725,f64,25600,5
0,"","",decompression_query,Thrust,publicbi-Telco-TOTAL_OUTGOING_MIN_P6,104857600,2.960832,1.000000,f32,25600,1
0,"","",decompression,Snappy,alp-gov31,209715200,1.977568,12.833491,f64,25600,2
0,"","",decompression,GDeflate,publicbi-Telco-RECHRG_TOTAL_LOAD_P2,104857600,2.417280,2.086368,f32,25600,2
