 (),data_type,encoding,end_ec,end_vbw,kernel,n_cols,n_vecs,patcher,sample_run,start_ec,start_vbw,unpacker,unpack_n_values,unpack_n_vectors,Achieved Active Warps Per SM (warp),Achieved Occupancy (%),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit SM (block),Block Limit Warps (block),Block Size,Block Size (),Compute (SM) Throughput (%),Driver Shared Memory Per Block (byte/block),Duration (nsecond),Dynamic Shared Memory Per Block (byte/block),DRAM Frequency (cycle/second),DRAM Throughput (%),Elapsed Cycles (cycle),Function Cache Configuration (),Grid Size,Grid Size (),ID,Kernel Name,L1/TEX Cache Throughput (%),L2 Cache Throughput (%),Memory Throughput (%),Registers Per Thread (register/thread),Shared Memory Configuration Size (byte),Static Shared Memory Per Block (byte/block),SM Active Cycles (cycle),SM Frequency (cycle/second),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Threads (thread),Waves Per SM ()
"",f32,ALP,20,8,query_multi_column,1,102400,prefetch_all_branchless,1,20,3,stateful_branchless,1,1,46.34,96.54,24,32,24,24,"(64, 1, 1)",64,79.23,1024,345920,0,10223866790.01,9.38,777058,CachePreferNone,"(51200, 1, 1)",51200,0,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T1, bool *)",55.92,4.99,55.69,40,32768,0,771341.85,2239362665.74,48,100,3276800,32.32
"",f32,ALP,20,8,query_multi_column,1,102400,prefetch_all_branchless,2,20,3,stateful_branchless,1,1,46.32,96.51,24,32,24,24,"(64, 1, 1)",64,79.22,1024,346208,0,10214622423.51,9.38,777223,CachePreferNone,"(51200, 1, 1)",51200,1,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T1, bool *)",55.95,4.99,55.68,40,32768,0,770965.41,2237823793.79,48,100,3276800,32.32
"",f32,ALP,20,8,query_multi_column,1,102400,prefetch_all_branchless,3,20,3,stateful_branchless,1,1,46.32,96.51,24,32,24,24,"(64, 1, 1)",64,79.18,1024,346016,0,10226209192.64,9.38,777602,CachePreferNone,"(51200, 1, 1)",51200,2,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T1, bool *)",55.93,4.98,55.65,40,32768,0,771179.68,2240252377.54,48,100,3276800,32.32
"",f32,ALP,20,8,query_multi_column,1,102400,prefetch_all_branchless,4,20,3,stateful_branchless,1,1,46.32,96.50,24,32,24,24,"(64, 1, 1)",64,79.22,1024,346208,0,10213513263.70,9.38,777157,CachePreferNone,"(51200, 1, 1)",51200,3,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T1, bool *)",55.94,5.01,55.68,40,32768,0,771044.70,2237800204.89,48,100,3276800,32.32
"",f32,ALP,20,8,query_multi_column,1,102400,prefetch_all_branchless,5,20,3,stateful_branchless,1,1,46.33,96.51,24,32,24,24,"(64, 1, 1)",64,79.21,1024,346080,0,10220619509.94,9.38,777522,CachePreferNone,"(51200, 1, 1)",51200,4,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T1, bool *)",55.94,4.97,55.68,40,32768,0,770981.02,2238895149.48,48,100,3276800,32.32
"",f32,ALP,20,8,query_multi_column,2,102400,prefetch_all_branchless,1,20,3,stateful_branchless,1,1,39.01,81.26,20,32,24,24,"(64, 1, 1)",64,80.33,1024,667616,0,10232660691.18,9.71,1515567,CachePreferNone,"(51200, 1, 1)",51200,5,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T1, bool *)",57.07,6.26,56.91,48,32768,0,1506011.83,2262657226.11,40,83.33,3276800,38.79
"",f32,ALP,20,8,query_multi_column,2,102400,prefetch_all_branchless,2,20,3,stateful_branchless,1,1,38.98,81.22,20,32,24,24,"(64, 1, 1)",64,80.35,1024,668448,0,10222222222.22,9.72,1515166,CachePreferNone,"(51200, 1, 1)",51200,6,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T1, bool *)",57.06,6.30,56.92,48,32768,0,1506277.59,2259551727.78,40,83.33,3276800,38.79
"",f32,ALP,20,8,query_multi_column,2,102400,prefetch_all_branchless,3,20,3,stateful_branchless,1,1,38.98,81.21,20,32,24,24,"(64, 1, 1)",64,80.31,1024,668096,0,10231822971.55,9.71,1515935,CachePreferNone,"(51200, 1, 1)",51200,7,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T1, bool *)",57.06,6.28,56.90,48,32768,0,1506336.48,2261717876.87,40,83.33,3276800,38.79
"",f32,ALP,20,8,query_multi_column,2,102400,prefetch_all_branchless,4,20,3,stateful_branchless,1,1,38.98,81.20,20,32,24,24,"(64, 1, 1)",64,80.34,1024,668000,0,10229077844.31,9.71,1515490,CachePreferNone,"(51200, 1, 1)",51200,8,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T1, bool *)",57.07,6.27,56.91,48,32768,0,1506036.09,2261354291.42,40,83.33,3276800,38.79
"",f32,ALP,20,8,query_multi_column,2,102400,prefetch_all_branchless,5,20,3,stateful_branchless,1,1,38.99,81.23,20,32,24,24,"(64, 1, 1)",64,80.36,1024,668096,0,10224734169.94,9.71,1515302,CachePreferNone,"(51200, 1, 1)",51200,9,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T1, bool *)",57.07,6.29,56.93,48,32768,0,1506216.83,2260386231.92,40,83.33,3276800,38.79
"",f32,ALP,20,8,query_multi_column,3,102400,prefetch_all_branchless,1,20,3,stateful_branchless,1,1,31.25,65.11,16,32,24,24,"(64, 1, 1)",64,80.35,1024,1017696,0,10231110272.62,9.56,2324278,CachePreferNone,"(51200, 1, 1)",51200,10,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T1, bool *)",55.71,7.64,55.60,64,32768,0,2311599.12,2276318271.86,32,66.67,3276800,48.48
"",f32,ALP,20,8,query_multi_column,3,102400,prefetch_all_branchless,2,20,3,stateful_branchless,1,1,31.26,65.12,16,32,24,24,"(64, 1, 1)",64,80.38,1024,1025792,0,10224107811.33,9.49,2323469,CachePreferNone,"(51200, 1, 1)",51200,11,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T1, bool *)",55.72,7.60,55.62,64,32768,0,2311275.02,2257557087.60,32,66.67,3276800,48.48
"",f32,ALP,20,8,query_multi_column,3,102400,prefetch_all_branchless,3,20,3,stateful_branchless,1,1,31.26,65.12,16,32,24,24,"(64, 1, 1)",64,80.37,1024,1025632,0,10229946023.53,9.49,2323707,CachePreferNone,"(51200, 1, 1)",51200,12,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T1, bool *)",55.71,7.63,55.61,64,32768,0,2311472.38,2258349973.48,32,66.67,3276800,48.48
"",f32,ALP,20,8,query_multi_column,3,102400,prefetch_all_branchless,4,20,3,stateful_branchless,1,1,31.26,65.13,16,32,24,24,"(64, 1, 1)",64,80.36,1024,1025728,0,10228489424.10,9.49,2325082,CachePreferNone,"(51200, 1, 1)",51200,13,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T1, bool *)",55.70,7.58,55.60,64,32768,0,2311808.32,2258441971.62,32,66.67,3276800,48.48
"",f32,ALP,20,8,query_multi_column,3,102400,prefetch_all_branchless,5,20,3,stateful_branchless,1,1,31.27,65.14,16,32,24,24,"(64, 1, 1)",64,80.32,1024,1025472,0,10078761779.94,9.64,2325266,CachePreferNone,"(51200, 1, 1)",51200,14,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T1, bool *)",55.72,7.67,55.58,64,32768,0,2311209,2260116317.17,32,66.67,3276800,48.48
"",f32,ALP,20,8,query_multi_column,4,102400,prefetch_all_branchless,1,20,3,stateful_branchless,1,1,23.45,48.85,12,32,24,24,"(64, 1, 1)",64,79.89,1024,1380736,0,10230555298.04,9.41,3138173,CachePreferNone,"(51200, 1, 1)",51200,15,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T5, T1, bool *)",54.99,8.84,54.88,80,32768,0,3120650.59,2264953981.07,24,50,3276800,64.65
"",f32,ALP,20,8,query_multi_column,4,102400,prefetch_all_branchless,2,20,3,stateful_branchless,1,1,23.45,48.86,12,32,24,24,"(64, 1, 1)",64,79.85,1024,1359616,0,10240161928.07,9.53,3138255,CachePreferNone,"(51200, 1, 1)",51200,16,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T5, T1, bool *)",54.99,8.92,54.85,80,32768,0,3120519.92,2301407039.44,24,50,3276800,64.65
"",f32,ALP,20,8,query_multi_column,4,102400,prefetch_all_branchless,3,20,3,stateful_branchless,1,1,23.45,48.84,12,32,24,24,"(64, 1, 1)",64,79.90,1024,1380320,0,10234936826.24,9.40,3138138,CachePreferNone,"(51200, 1, 1)",51200,17,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T5, T1, bool *)",54.99,8.83,54.89,80,32768,0,3120708.94,2265443882.58,24,50,3276800,64.65
"",f32,ALP,20,8,query_multi_column,4,102400,prefetch_all_branchless,4,20,3,stateful_branchless,1,1,23.45,48.86,12,32,24,24,"(64, 1, 1)",64,79.86,1024,1380800,0,10235365005.79,9.39,3139000,CachePreferNone,"(51200, 1, 1)",51200,18,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T5, T1, bool *)",55.00,8.84,54.86,80,32768,0,3120081.55,2265730252.99,24,50,3276800,64.65
"",f32,ALP,20,8,query_multi_column,4,102400,prefetch_all_branchless,5,20,3,stateful_branchless,1,1,23.45,48.85,12,32,24,24,"(64, 1, 1)",64,79.89,1024,1381184,0,10229090403.60,9.41,3136642,CachePreferNone,"(51200, 1, 1)",51200,19,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T5, T1, bool *)",54.99,8.86,54.88,80,32768,0,3120441.98,2264374140.83,24,50,3276800,64.65
"",f32,ALP,20,8,query_multi_column,5,102400,prefetch_all_branchless,1,20,3,stateful_branchless,1,1,19.66,40.95,10,32,24,24,"(64, 1, 1)",64,82.20,1024,1765056,0,10236919395.19,9.18,4028083,CachePreferNone,"(51200, 1, 1)",51200,20,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T5, T5, T1, bool *)",53.53,9.32,53.43,94,32768,0,4005936.61,2274056082.83,20,41.67,3276800,77.58
"",f32,ALP,20,8,query_multi_column,5,102400,prefetch_all_branchless,2,20,3,stateful_branchless,1,1,19.66,40.96,10,32,24,24,"(64, 1, 1)",64,82.22,1024,1738688,0,10238451061.95,9.33,4025089,CachePreferNone,"(51200, 1, 1)",51200,21,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T5, T5, T1, bool *)",53.52,9.41,53.45,94,32768,0,4006156.62,2307888093.40,20,41.67,3276800,77.58
"",f32,ALP,20,8,query_multi_column,5,102400,prefetch_all_branchless,3,20,3,stateful_branchless,1,1,19.66,40.95,10,32,24,24,"(64, 1, 1)",64,82.22,1024,1765920,0,10232055812.27,9.19,4025737,CachePreferNone,"(51200, 1, 1)",51200,22,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T5, T5, T1, bool *)",53.52,9.32,53.45,94,32768,0,4006005.88,2272350861.50,20,41.67,3276800,77.58
"",f32,ALP,20,8,query_multi_column,5,102400,prefetch_all_branchless,4,20,3,stateful_branchless,1,1,19.66,40.96,10,32,24,24,"(64, 1, 1)",64,82.21,1024,1764832,0,10235752751.54,9.18,4026756,CachePreferNone,"(51200, 1, 1)",51200,23,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T5, T5, T1, bool *)",53.52,9.33,53.44,94,32768,0,4006018.27,2273945244.27,20,41.67,3276800,77.58
"",f32,ALP,20,8,query_multi_column,5,102400,prefetch_all_branchless,5,20,3,stateful_branchless,1,1,19.66,40.96,10,32,24,24,"(64, 1, 1)",64,82.23,1024,1765216,0,10083715533.96,9.32,4024056,CachePreferNone,"(51200, 1, 1)",51200,24,"void multi_column::query_multi_column<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPDecompressor<float, (unsigned int)1, flsgpu::device::BitUnpackerStatefulBranchless<float, (unsigned int)1, (unsigned int)1, flsgpu::device::ALPFunctor<float, (unsigned int)1>>, flsgpu::device::PrefetchAllBranchlessALPExceptionPatcher<float, (unsigned int)1, (unsigned int)1>, flsgpu::device::ALPExtendedColumn<float>>, flsgpu::device::ALPExtendedColumn<float>>(T5, T5, T5, T5, T5, T1, bool *)",53.51,9.41,53.45,94,32768,0,4006721.95,2272870288.96,20,41.67,3276800,77.58
