return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression_query,Snappy,alp-medicare9,74301440,2.972896,3.073106,f64,0,4
0,9.071027,177.642405,decompression,GALP,publicbi-Telco-FREE_MINS_P3,11649024,0.052384,1.782461,f32,0,3
0,28.258875,145.057442,decompression_query,ALP,alp-medicare1,74301440,0.282624,1.613008,f64,0,4
0,"","",decompression_query,Deflate,publicbi-CommonGovernment-baseandalloptionsvalue,45547520,9.708384,1.302132,f32,0,5
0,"","",decompression,BitcompSparse,publicbi-Telco-TOTAL_INCOMING_MIN_P1,11649024,0.246912,1.026688,f32,0,3
0,19.529412,6.705882,decompression_query,GALP,alp-bird_migration_f,139264,0.021504,3.138910,f64,0,3
0,"","",decompression_query,Deflate,alp-nyc29,139567104,20.789408,1.186287,f64,0,1
0,"","",decompression_query,GDeflate,publicbi-Telco-TOTAL_MINS_P1,11649024,2.685792,1.272920,f32,0,2
0,"","",decompression,Bitcomp,publicbi-CommonGovernment-baseandexercisedoptionsvalue,45547520,0.462112,1.018357,f32,0,3
0,"","",decompression,LZ4,publicbi-Physicians-line_srvc_cnt,36610048,5.333088,1.343994,f32,0,4
0,"","",decompression_query,BitcompSparse,publicbi-Telco-TOTAL_MINS_P3,11649024,0.273120,1.185557,f32,0,1
0,"","",decompression_query,LZ4,alp-stocks_de,348520448,10.334720,2.572088,f64,0,3
0,"","",decompression_query,BitcompSparse,publicbi-CMSprovider-STDEV_SUBMITTED_CHRG_AMT,37150720,0.424768,1.596263,f32,0,2
0,"","",decompression,BitcompSparse,publicbi-Telco-ONNET_MINS_P4,11649024,0.247872,1.290143,f32,0,4
0,"","",decompression_query,Snappy,publicbi-Telco-TOTAL_OUTGOING_MIN_P6,11649024,1.735616,1.041807,f32,0,5
0,"","",decompression,GDeflate,publicbi-CommonGovernment-nongsadollar,45547520,3.024800,1.525542,f32,0,2
0,"","",decompression_query,Bitcomp,publicbi-Telco-TOTAL_OUTGOING_REV_P1,11649024,0.325952,1.008611,f32,0,5
0,11.371003,9.743219,decompression_query,GALP,alp-medicare9,74301440,0.081344,5.133087,f64,0,3
0,"","",decompression,BitcompSparse,alp-nyc29,139567104,0.598336,0.998293,f64,0,1
0,"","",decompression_query,Thrust,publicbi-Physicians-line_srvc_cnt,36610048,2.275552,1.000000,f32,0,2
0,"","",decompression,BitcompSparse,publicbi-Telco-CHRGD_REV_P1,11649024,0.246880,1.082138,f32,0,2
0,"","",decompression_query,zstd,alp-bitcoin_transactions_f,1843200,5.057536,1.604587,f64,0,3
0,"","",decompression_query,BitcompSparse,alp-neon_bio_temp_c,3046539264,12.224800,0.998452,f64,0,1
0,"","",decompression,Bitcomp,alp-gov31,1128988672,2.824960,14.569456,f64,0,1
