return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression_query,zstd,alp-bird_migration_f,209715200,14.664960,2.865334,f64,25600,1
0,0.624453,354.031328,decompression,GALP,publicbi-CMSprovider-STDEV_SUBMITTED_CHRG_AMT,104857600,0.585856,1.800346,f32,25600,5
0,30.000000,78.456680,decompression_query,GALP,alp-bitcoin_transactions_f,209715200,0.258784,1.755090,f64,25600,3
0,"","",decompression,LZ4,publicbi-Telco-FREE_MINS_P3,104857600,5.531424,1.779298,f32,25600,3
0,"","",decompression_query,Deflate,alp-city_temperature_f,209715200,29.957344,1.934331,f64,25600,2
0,"","",decompression,Deflate,publicbi-Telco-TOTAL_MINS_P3,104857600,19.448544,1.481911,f32,25600,2
0,"","",decompression,zstd,publicbi-Telco-CHRGD_REV_P1,104857600,10.314464,1.495213,f32,25600,3
0,8.216953,4.124922,decompression_query,GALP,alp-neon_pm10_dust,209715200,0.151776,7.211146,f64,25600,3
0,"","",decompression_query,Deflate,alp-medicare9,209715200,29.181889,3.354281,f64,25600,1
0,"","",decompression_query,zstd,alp-gov26,209715200,2.882240,302.781868,f64,25600,5
0,30.000000,78.456680,decompression_query,GALP,alp-bitcoin_transactions_f,209715200,0.261024,1.755090,f64,25600,2
0,"","",decompression,Snappy,alp-arade4,209715200,10.880128,1.269186,f64,25600,5
0,"","",decompression_query,LZ4,publicbi-Telco-TOTAL_OUTGOING_MIN_P6,104857600,3.267424,1.036760,f32,25600,4
0,"","",decompression,GDeflate,alp-neon_bio_temp_c,209715200,7.548992,1.398215,f64,25600,4
0,"","",decompression_query,Snappy,publicbi-Telco-RECHRG_TOTAL_LOAD_P1,104857600,7.439712,1.493974,f32,25600,3
0,"","",decompression_query,zstd,publicbi-Telco-TOTAL_OUTGOING_MIN_P2,104857600,9.831488,1.399121,f32,25600,4
0,"","",decompression_query,Thrust,alp-cms1,209715200,6.404064,1.000000,f64,25600,2
0,"","",decompression_query,Bitcomp,alp-basel_temp_f,209715200,1.063776,0.998294,f64,25600,5
0,"","",decompression_query,zstd,publicbi-Telco-TOTAL_OUTGOING_REV_P1,104857600,11.069376,1.227389,f32,25600,3
0,"","",decompression,LZ4,alp-cms25,209715200,3.490272,1.042500,f64,25600,5
0,"","",decompression_query,Snappy,publicbi-Telco-CHRGD_REV_P1,104857600,4.992512,1.179464,f32,25600,5
0,24.518398,223.363477,decompression,ALP,publicbi-Telco-RECHRG_INC_MIN_USED_P2,104857600,0.547840,0.913157,f32,25600,1
0,"","",decompression_query,zstd,publicbi-Telco-RECHRG_TOTAL_LOAD_P2,104857600,10.097632,2.439469,f32,25600,4
0,"","",decompression,Bitcomp,alp-nyc29,209715200,1.637888,1.182064,f64,25600,3
0,"","",decompression_query,LZ4,alp-gov31,209715200,6.408128,14.547538,f64,25600,3
0,"","",decompression_query,zstd,alp-neon_pm10_dust,209715200,12.182976,8.035311,f64,25600,5
0,"","",decompression_query,zstd,alp-gov30,209715200,7.052288,15.048602,f64,25600,1
0,22.493047,267.827148,decompression,GALP,publicbi-CommonGovernment-baseandalloptionsvalue,104857600,0.537216,0.898823,f32,25600,5
0,26.299297,54.273945,decompression,GALP,alp-gov10,209715200,0.535584,2.072849,f64,25600,5
0,16.470664,155.314180,decompression,ALP,publicbi-Telco-ONNET_MINS_P1,104857600,0.456704,1.344216,f32,25600,4
0,26.362031,250.280000,decompression,GALP,publicbi-Telco-TOTAL_INCOMING_MIN_P6,104857600,0.512096,0.827973,f32,25600,2
0,"","",decompression,zstd,publicbi-Telco-RECHRG_TOTAL_LOAD_P4,104857600,9.205216,3.543481,f32,25600,3
0,9.376016,170.870898,decompression_query,GALP,publicbi-Telco-FREE_MINS_P3,104857600,0.152032,1.783696,f32,25600,3
0,"","",decompression,zstd,publicbi-Telco-RECHRG_TOTAL_LOAD_P2,104857600,9.930048,2.439469,f32,25600,2
0,"","",decompression_query,BitcompSparse,publicbi-CommonGovernment-nongsadollar,104857600,0.631680,1.234733,f32,25600,4
0,11.253086,9.415430,decompression,GALP,alp-medicare9,209715200,0.439456,5.192865,f64,25600,1
0,"","",decompression_query,BitcompSparse,publicbi-Telco-TOTAL_OUTGOING_MIN_P6,104857600,0.664256,1.015598,f32,25600,5
0,11.778906,6.145352,decompression_query,ALP,publicbi-Telco-RECHRG_TOTAL_LOAD_P2,104857600,0.159744,2.639903,f32,25600,1
0,"","",decompression,Snappy,publicbi-CMSprovider-AVERAGE_MEDICARE_ALLOWED_AMT,104857600,4.991104,1.705315,f32,25600,4
0,"","",decompression_query,GDeflate,publicbi-CommonGovernment-nongsadollar,104857600,3.663264,1.524135,f32,25600,2
0,"","",decompression,Deflate,publicbi-Telco-RECHRG_INC_MIN_USED_P2,104857600,19.075712,1.207632,f32,25600,3
