 (),# SMs (SM),# TPCs (),data_type,encoding,end_ec,end_vbw,kernel,n_cols,n_vecs,patcher,sample_run,start_ec,start_vbw,unpacker,unpack_n_values,unpack_n_vectors,Achieved Active Warps Per SM (warp),Achieved Occupancy (%),Average DRAM Active Cycles (cycle),Average L1 Active Cycles (cycle),Average L2 Active Cycles (cycle),Average SM Active Cycles (cycle),Average SMSP Active Cycles (cycle),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit SM (block),Block Limit Warps (block),Block Size,Block Size (),Compute (SM) Throughput (%),Driver Shared Memory Per Block (byte/block),Duration (ns),Dynamic Shared Memory Per Block (byte/block),DRAM Frequency (hz),DRAM Throughput (%),Elapsed Cycles (cycle),Enabled TPC IDs (),Function Cache Configuration (),Grid Size,Grid Size (),ID,Kernel Name,L1/TEX Cache Throughput (%),L2 Cache Throughput (%),Memory Throughput (%),Registers Per Thread (register/thread),Shared Memory Configuration Size (byte),Stack Size (),Static Shared Memory Per Block (byte/block),SM Active Cycles (cycle),SM Frequency (hz),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Threads (thread),Total DRAM Elapsed Cycles (cycle),Total L1 Elapsed Cycles (cycle),Total L2 Elapsed Cycles (cycle),Total SM Elapsed Cycles (cycle),Total SMSP Elapsed Cycles (cycle),Uses Green Context (),Waves Per SM ()
"",80,40,f32,ALP,20,8,query_multi_column,1,102400,prefetch_all_branchless,1,20,3,stateful_branchless,1,1,60.87,95.11,22366.25,600202.68,488825.22,600202.68,600133.88,32,32,32,32,"(64, 1, 1)",64,79.79,0,460992,0,875893724.84,5.54,604498,all,CachePreferNone,"(51200, 1, 1)",51200,0,"void query_multi_column<float, 1, 1, ALPDecompressor<float, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>>, PrefetchAllBranchlessALPExceptionPatcher<float, 1, 1>, ALPExtendedColumn<float>>, ALPExtendedColumn<float>>(T5, T1, bool *)",30.61,2.88,30.46,32,0,1024,0,600202.68,1310308711.07,64,100,3276800,12920960,48256482,36827520,48256482,193025928,0,20
"",80,40,f32,ALP,20,8,query_multi_column,1,102400,prefetch_all_branchless,2,20,3,stateful_branchless,1,1,60.86,95.10,22364.44,600635.68,488434.39,600635.68,600014.26,32,32,32,32,"(64, 1, 1)",64,79.70,0,460384,0,879926322.37,5.52,603621,all,CachePreferNone,"(51200, 1, 1)",51200,1,"void query_multi_column<float, 1, 1, ALPDecompressor<float, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>>, PrefetchAllBranchlessALPExceptionPatcher<float, 1, 1>, ALPExtendedColumn<float>>, ALPExtendedColumn<float>>(T5, T1, bool *)",30.59,2.90,30.43,32,0,1024,0,600635.68,1310263823.24,64,100,3276800,12963328,48310310,36789696,48310310,193241240,0,20
"",80,40,f32,ALP,20,8,query_multi_column,1,102400,prefetch_all_branchless,3,20,3,stateful_branchless,1,1,60.82,95.03,24800.81,600079.78,488288.61,600079.78,599966.47,32,32,32,32,"(64, 1, 1)",64,79.68,0,462752,0,872795795.59,6.14,606872,all,CachePreferNone,"(51200, 1, 1)",51200,2,"void query_multi_column<float, 1, 1, ALPDecompressor<float, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>>, PrefetchAllBranchlessALPExceptionPatcher<float, 1, 1>, ALPExtendedColumn<float>>, ALPExtendedColumn<float>>(T5, T1, bool *)",30.62,2.88,30.42,32,0,1024,0,600079.78,1310451026.32,64,100,3276800,12924416,48323324,36986752,48323324,193293296,0,20
"",80,40,f32,ALP,20,8,query_multi_column,1,102400,prefetch_all_branchless,4,20,3,stateful_branchless,1,1,60.62,94.72,24824,600332.74,487998.31,600332.74,600022.70,32,32,32,32,"(64, 1, 1)",64,79.66,0,461792,0,875242533.43,6.14,605555,all,CachePreferNone,"(51200, 1, 1)",51200,3,"void query_multi_column<float, 1, 1, ALPDecompressor<float, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>>, PrefetchAllBranchlessALPExceptionPatcher<float, 1, 1>, ALPExtendedColumn<float>>, ALPExtendedColumn<float>>(T5, T1, bool *)",30.60,2.89,30.41,32,0,1024,0,600332.74,1310354734.02,64,100,3276800,12933760,48334048,36914368,48334048,193336192,0,20
"",80,40,f32,ALP,20,8,query_multi_column,1,102400,prefetch_all_branchless,5,20,3,stateful_branchless,1,1,60.75,94.92,24807.88,600398.41,487799.33,600398.41,599957.72,32,32,32,32,"(64, 1, 1)",64,79.74,0,462464,0,874065873.24,6.14,606442,all,CachePreferNone,"(51200, 1, 1)",51200,4,"void query_multi_column<float, 1, 1, ALPDecompressor<float, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>>, PrefetchAllBranchlessALPExceptionPatcher<float, 1, 1>, ALPExtendedColumn<float>>, ALPExtendedColumn<float>>(T5, T1, bool *)",30.60,2.87,30.44,32,0,1024,0,600398.41,1310419838.08,64,100,3276800,12935168,48287528,36971712,48287528,193150112,0,20
"",80,40,f32,ALP,20,8,query_multi_column,2,102400,prefetch_all_branchless,1,20,3,stateful_branchless,1,1,38.21,59.70,45811,1144624.85,956380.16,1144624.85,1144012.41,20,32,32,32,"(64, 1, 1)",64,79.99,0,878080,0,876020408.16,5.96,1151843,all,CachePreferNone,"(51200, 1, 1)",51200,5,"void query_multi_column<float, 1, 1, ALPDecompressor<float, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>>, PrefetchAllBranchlessALPExceptionPatcher<float, 1, 1>, ALPExtendedColumn<float>>, ALPExtendedColumn<float>>(T5, T5, T1, bool *)",31.82,4.19,31.68,48,0,1024,0,1144624.85,1311314648.63,40,62.50,3276800,24614912,91978988,70269632,91978988,367915952,0,32
"",80,40,f32,ALP,20,8,query_multi_column,2,102400,prefetch_all_branchless,2,20,3,stateful_branchless,1,1,38.26,59.78,45797.84,1144856.48,955900.05,1144856.48,1143880.25,20,32,32,32,"(64, 1, 1)",64,80.01,0,875584,0,879093268.04,5.95,1148606,all,CachePreferNone,"(51200, 1, 1)",51200,6,"void query_multi_column<float, 1, 1, ALPDecompressor<float, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>>, PrefetchAllBranchlessALPExceptionPatcher<float, 1, 1>, ALPExtendedColumn<float>>, ALPExtendedColumn<float>>(T5, T5, T1, bool *)",31.81,4.20,31.69,48,0,1024,0,1144856.48,1311300038.98,40,62.50,3276800,24631040,91950974,70079296,91950974,367803896,0,32
"",80,40,f32,ALP,20,8,query_multi_column,2,102400,prefetch_all_branchless,3,20,3,stateful_branchless,1,1,38.29,59.84,45570.03,1144757.10,955842.44,1144757.10,1143710.44,20,32,32,32,"(64, 1, 1)",64,79.99,0,876192,0,878218472.66,5.92,1149418,all,CachePreferNone,"(51200, 1, 1)",51200,7,"void query_multi_column<float, 1, 1, ALPDecompressor<float, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>>, PrefetchAllBranchlessALPExceptionPatcher<float, 1, 1>, ALPExtendedColumn<float>>, ALPExtendedColumn<float>>(T5, T5, T1, bool *)",31.82,4.21,31.68,48,0,1024,0,1144757.10,1311277665.17,40,62.50,3276800,24623616,91978894,70132864,91978894,367915576,0,32
"",80,40,f32,ALP,20,8,query_multi_column,2,102400,prefetch_all_branchless,4,20,3,stateful_branchless,1,1,38.21,59.70,45542.97,1145016.29,956488.59,1145016.29,1143819.71,20,32,32,32,"(64, 1, 1)",64,80.02,0,876160,0,878140978.82,5.92,1149460,all,CachePreferNone,"(51200, 1, 1)",51200,8,"void query_multi_column<float, 1, 1, ALPDecompressor<float, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>>, PrefetchAllBranchlessALPExceptionPatcher<float, 1, 1>, ALPExtendedColumn<float>>, ALPExtendedColumn<float>>(T5, T5, T1, bool *)",31.81,4.19,31.69,48,0,1024,0,1145016.29,1311349144.75,40,62.50,3276800,24620544,91943330,70126336,91943330,367773320,0,32
"",80,40,f32,ALP,20,8,query_multi_column,2,102400,prefetch_all_branchless,5,20,3,stateful_branchless,1,1,38.32,59.87,45798.94,1144288.50,955164.67,1144288.50,1143831.03,20,32,32,32,"(64, 1, 1)",64,80.01,0,878560,0,873629575.67,5.97,1152571,all,CachePreferNone,"(51200, 1, 1)",51200,9,"void query_multi_column<float, 1, 1, ALPDecompressor<float, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>>, PrefetchAllBranchlessALPExceptionPatcher<float, 1, 1>, ALPExtendedColumn<float>>, ALPExtendedColumn<float>>(T5, T5, T1, bool *)",31.83,4.17,31.69,48,0,1024,0,1144288.50,1311343562.19,40,62.50,3276800,24561152,91960030,70321344,91960030,367840120,0,32
