ID,alias,vbw,ec,n_vecs,Elapsed Cycles (cycle),Kernel Name,Block Size,Grid Size,Memory Throughput (%),DRAM Throughput (%),L1/TEX Cache Throughput (%),L2 Cache Throughput (%),Compute (SM) Throughput (%),Registers Per Thread (register/thread),Shared Memory Configuration Size (byte),Waves Per SM (),Block Limit SM (block),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit Warps (block),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Achieved Occupancy (%),Achieved Active Warps Per SM (warp)
0,alp-1v,8,0,125000,543338,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.32,39.32,20.67,14.44,83.41,24,0,24.41,32,42,32,32,64,100,94.86,60.71
1,alp-1v,8,1,125000,691666,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",34.29,34.29,24.02,11.94,82.44,24,0,24.41,32,42,32,32,64,100,88.27,56.49
2,alp-1v,8,2,125000,747210,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",31.74,31.74,25.25,11.12,83.86,24,0,24.41,32,42,32,32,64,100,90.66,58.02
3,alp-1v,8,3,125000,782469,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",30.34,30.34,25.94,10.64,84.57,24,0,24.41,32,42,32,32,64,100,92.29,59.06
4,alp-1v,8,4,125000,810020,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",29.35,29.35,26.40,10.28,84.87,24,0,24.41,32,42,32,32,64,100,92.98,59.51
5,alp-1v,8,5,125000,831059,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",28.54,28.54,26.75,10.03,85.45,24,0,24.41,32,42,32,32,64,100,93.43,59.79
6,alp-1v,8,6,125000,850108,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",27.90,27.90,27.05,9.80,85.75,24,0,24.41,32,42,32,32,64,100,93.91,60.10
7,alp-1v,8,7,125000,869693,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",27.34,27.34,27.30,9.60,85.95,24,0,24.41,32,42,32,32,64,100,94.15,60.26
8,alp-1v,8,8,125000,886039,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",27.38,26.77,27.53,9.42,86.07,24,0,24.41,32,42,32,32,64,100,94.23,60.30
9,alp-1v,8,9,125000,903614,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",27.60,26.27,27.71,9.47,86.32,24,0,24.41,32,42,32,32,64,100,94.39,60.41
