ID,alias,vbw,n_vecs,Elapsed Cycles (cycle),Kernel Name,Block Size,Grid Size,Memory Throughput (%),DRAM Throughput (%),L1/TEX Cache Throughput (%),L2 Cache Throughput (%),SM Active Cycles (cycle),Compute (SM) Throughput (%),Registers Per Thread (register/thread),Threads (thread),Waves Per SM (),Block Limit SM (block),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit Warps (block),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Achieved Occupancy (%),Achieved Active Warps Per SM (warp)
0,bp-1v,0,125000,614070,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",16.87,4.15,16.94,1.34,611190.41,95.96,29,4000000,24.41,32,32,32,32,64,100,95.60,61.18
1,bp-1v,1,125000,615674,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",16.86,4.14,16.94,1.34,611160.14,95.92,29,4000000,24.41,32,32,32,32,64,100,95.61,61.19
2,bp-1v,2,125000,615461,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",16.87,8.35,16.93,2.67,611014.64,96.06,29,4000000,24.41,32,32,32,32,64,100,95.47,61.10
3,bp-1v,3,125000,614781,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",16.86,12.01,16.92,4.01,611610.45,96.00,29,4000000,24.41,32,32,32,32,64,100,95.32,61.01
4,bp-1v,4,125000,615758,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",16.82,15.80,16.90,5.33,611774.36,95.84,29,4000000,24.41,32,32,32,32,64,100,95.42,61.07
5,bp-1v,5,125000,615235,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",19.62,19.62,16.91,6.67,611774.16,95.74,29,4000000,24.41,32,32,32,32,64,100,95.34,61.02
6,bp-1v,6,125000,616230,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",23.37,23.37,16.91,7.99,611973.24,95.82,29,4000000,24.41,32,32,32,32,64,100,95.32,61.00
7,bp-1v,7,125000,615635,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",27.16,27.16,16.91,9.32,611965.55,95.73,29,4000000,24.41,32,32,32,32,64,100,95.28,60.98
8,bp-1v,8,125000,616255,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",30.98,30.98,16.89,10.64,611867.40,95.80,29,4000000,24.41,32,32,32,32,64,100,95.36,61.03
9,bp-1v,9,125000,616401,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",34.75,34.75,16.90,11.97,612367.75,95.76,29,4000000,24.41,32,32,32,32,64,100,95.18,60.91
