ID,n_cols,alias,vbw,ec,n_vecs,Elapsed Cycles (cycle),Theoretical Occupancy (%),Achieved Occupancy (%),Kernel Name,Block Size,Grid Size,Registers Per Thread (register/thread),Memory Throughput (%),DRAM Throughput (%),L1/TEX Cache Throughput (%),L2 Cache Throughput (%),SM Active Cycles (cycle),Compute (SM) Throughput (%),Threads (thread),Waves Per SM (),Block Limit SM (block),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit Warps (block),Theoretical Active Warps per SM (warp),Achieved Active Warps Per SM (warp)
0,1,ALP-32,0,10,125000,2403748,75,69.37,"void scan_columns<float, AlpUnpacker<float, 1, 32, BitUnpackerStatefulBranchless<float, 1, 32, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 32>, AlpColumn<float>>, AlpColumn<float>, 1, 32>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",34,62.38,62.38,24.12,22.78,2383751.12,15.74,4000000,32.55,32,24,32,32,48,44.40
1,1,ALP-1,0,10,125000,919115,100,94.44,"void scan_columns<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",24,27.97,8.04,28.11,3.16,912995.57,86.47,4000000,24.41,32,42,32,32,64,60.44
2,1,GALP-32,0,10,125000,572943,56.25,52.32,"void scan_columns<float, AlpUnpacker<float, 1, 32, BitUnpackerStatefulBranchless<float, 1, 32, ALPFunctor<float, 1>, 1024>, PrefetchAllALPExceptionPatcher<float, 1, 32>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1, 32>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",56,20.54,14.88,20.71,5.42,567283.41,66.40,4000000,43.40,32,18,32,32,36,33.48
3,1,GALP-1,0,10,125000,532023,100,95.07,"void scan_columns<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, PrefetchAllALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",30,22.68,15.99,22.81,6.11,528389.09,80.03,4000000,24.41,32,32,32,32,64,60.85
4,1,ALP-32,1,10,125000,2395371,75,69.36,"void scan_columns<float, AlpUnpacker<float, 1, 32, BitUnpackerStatefulBranchless<float, 1, 32, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 32>, AlpColumn<float>>, AlpColumn<float>, 1, 32>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",34,62.51,62.51,24.22,22.88,2379028.17,15.80,4000000,32.55,32,24,32,32,48,44.39
5,1,ALP-1,1,10,125000,918684,100,94.35,"void scan_columns<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",24,28.01,8.06,28.10,3.16,913289.82,86.60,4000000,24.41,32,42,32,32,64,60.39
6,1,GALP-32,1,10,125000,575611,56.25,52.40,"void scan_columns<float, AlpUnpacker<float, 1, 32, BitUnpackerStatefulBranchless<float, 1, 32, ALPFunctor<float, 1>, 1024>, PrefetchAllALPExceptionPatcher<float, 1, 32>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1, 32>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",56,20.56,14.84,20.68,5.42,568277.59,66.45,4000000,43.40,32,18,32,32,36,33.54
7,1,GALP-1,1,10,125000,532904,100,95.02,"void scan_columns<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, PrefetchAllALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",30,22.68,16.00,22.80,6.11,528592.07,80.03,4000000,24.41,32,32,32,32,64,60.81
8,1,ALP-32,2,10,125000,2421486,75,69.85,"void scan_columns<float, AlpUnpacker<float, 1, 32, BitUnpackerStatefulBranchless<float, 1, 32, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 32>, AlpColumn<float>>, AlpColumn<float>, 1, 32>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",34,63.33,63.33,23.95,23.10,2384871.98,15.51,4000000,32.55,32,24,32,32,48,44.71
9,1,ALP-1,2,10,125000,919016,100,94.45,"void scan_columns<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, StatefulALPExceptionPatcher<float, 1, 1>, AlpColumn<float>>, AlpColumn<float>, 1, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",24,27.99,10.58,28.11,4.07,913247.06,86.54,4000000,24.41,32,42,32,32,64,60.45
10,1,GALP-32,2,10,125000,572936,56.25,52.40,"void scan_columns<float, AlpUnpacker<float, 1, 32, BitUnpackerStatefulBranchless<float, 1, 32, ALPFunctor<float, 1>, 1024>, PrefetchAllALPExceptionPatcher<float, 1, 32>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1, 32>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",56,20.51,18.89,20.69,6.88,567669.68,66.33,4000000,43.40,32,18,32,32,36,33.54
11,1,GALP-1,2,10,125000,532324,100,94.80,"void scan_columns<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, PrefetchAllALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",30,22.68,20.39,22.79,7.67,528767.96,80.01,4000000,24.41,32,32,32,32,64,60.67
