kernel,compressor,file,result,bytes,execution_time_ms,compression_ratio
decompression,ALP,Telco-TOTAL_OUTGOING_MIN_P6,0,512000000,1.560576,4.246369
decompression,GALP,Telco-TOTAL_OUTGOING_MIN_P6,0,512000000,1.230976,3.982155
decompression,Bitcomp,Telco-TOTAL_OUTGOING_MIN_P6,1,512000000,106.127998,3.86282
decompression,BitcompSparse,Telco-TOTAL_OUTGOING_MIN_P6,1,512000000,8.391136,3.781389
decompression,LZ4,Telco-TOTAL_OUTGOING_MIN_P6,1,512000000,7.677312,3.892828
decompression,zstd,Telco-TOTAL_OUTGOING_MIN_P6,1,512000000,48.337666,4.77454
decompression,Deflate,Telco-TOTAL_OUTGOING_MIN_P6,1,512000000,103.261505,3.181438
decompression,GDeflate,Telco-TOTAL_OUTGOING_MIN_P6,1,512000000,17.831039,3.150473
decompression,Snappy,Telco-TOTAL_OUTGOING_MIN_P6,1,512000000,6.61728,3.536809
decompression,ALP,Telco-FREE_MINS_P1,0,512000000,1.525536,5.79858
decompression,GALP,Telco-FREE_MINS_P1,0,512000000,1.17184,5.316858
decompression,Bitcomp,Telco-FREE_MINS_P1,1,512000000,8.85968,4.498914
decompression,BitcompSparse,Telco-FREE_MINS_P1,1,512000000,8.386624,4.896955
decompression,LZ4,Telco-FREE_MINS_P1,1,512000000,7.893664,5.519195
decompression,zstd,Telco-FREE_MINS_P1,1,512000000,25.228161,8.613397
decompression,Deflate,Telco-FREE_MINS_P1,1,512000000,69.962013,4.32312
decompression,GDeflate,Telco-FREE_MINS_P1,1,512000000,17.680288,4.266103
decompression,Snappy,Telco-FREE_MINS_P1,1,512000000,11.139968,5.390265
decompression,ALP,Telco-RECHRG_TOTAL_LOAD_P6,0,512000000,1.233696,8.353269
decompression,GALP,Telco-RECHRG_TOTAL_LOAD_P6,0,512000000,1.05024,7.388874
decompression,Bitcomp,Telco-RECHRG_TOTAL_LOAD_P6,1,512000000,8.890592,4.08833
decompression,BitcompSparse,Telco-RECHRG_TOTAL_LOAD_P6,1,512000000,8.264448,3.993329
decompression,LZ4,Telco-RECHRG_TOTAL_LOAD_P6,1,512000000,7.946848,5.102843
decompression,zstd,Telco-RECHRG_TOTAL_LOAD_P6,1,512000000,22.94352,7.903713
decompression,Deflate,Telco-RECHRG_TOTAL_LOAD_P6,1,512000000,69.481827,4.290808
decompression,GDeflate,Telco-RECHRG_TOTAL_LOAD_P6,1,512000000,17.801056,4.234711
decompression,Snappy,Telco-RECHRG_TOTAL_LOAD_P6,1,512000000,12.889376,4.500533
decompression,ALP,Telco-RECHRG_TOTAL_LOAD_P2,0,512000000,1.157152,9.693172
decompression,GALP,Telco-RECHRG_TOTAL_LOAD_P2,0,512000000,1.045888,8.418189
